Geographic_ area,Indicator,Sex,Time period,Observation Value,Unit of measure of deaths,,,Lower Bound,Upper Bound
Zimbabwe,CME_TMY1T4: Child deaths (aged 1-4 years), Total,2008,16294,D: Number of deaths,,,108.1073557,137.8525453
Zimbabwe,CME_TMY20T24: Deaths aged 20 to 24, Total,2008,5753,D: Number of deaths,,,105.3250919,138.5053556
Zimbabwe,CME_TMY5T14: Deaths (children aged 5-14), Total,2008,5430,D: Number of deaths,,,102.3361574,140.0667276
Zimbabwe,CME_TMY5T24: Deaths aged 5 to 24, Total,2008,14145,D: Number of deaths,,,98.907733,141.7030254
Zimbabwe,CME_TMY5T9: Deaths aged 5 to 9, Total,2008,3097,D: Number of deaths,,,95.09042867,142.6461635
Zimbabwe,HVA_EPI_DTH_ANN_0-19: Estimated number of annual AIDS-related deaths (children aged 0-19 years), Total,2008,17000,NUMBER: Number,,,137.6113672,160.9612451
Zimbabwe,HVA_EPI_DTH_ANN_15-24: Estimated number of annual AIDS-related deaths (adolescents and young people aged 15-24 years), Total,2008,4200,NUMBER: Number,,,133.6919815,158.0446982
Zimbabwe,"HVA_EPI_DTH_RT: Estimated rate of annual AIDS-related deaths (per 100,000 population)", Total,2008,137.92,"RATE_100000: Rate per 100,000 of Population",,,130.1279062,155.8833918
Zimbabwe,"HVA_EPI_DTH_RT_0-14: Estimated rate of annual AIDS-related deaths (per 100,000 population, children aged 0-14 years)", Total,2008,315.45,"RATE_100000: Rate per 100,000 of Population",,,126.8197832,154.5991336
Zimbabwe,"HVA_EPI_DTH_RT_10-19: Estimated rate of annual AIDS-related deaths (per 100,000 population, adolescents aged 10-19 years)", Total,2008,133.22,"RATE_100000: Rate per 100,000 of Population",,,123.7521852,153.8970162
Zimbabwe,HVA_EPI_INF_ANN_0-19: Estimated number of new HIV infections (children aged 0-19 years), Total,2008,33000,NUMBER: Number,,,120.7179769,153.7824459
Zimbabwe,HVA_EPI_INF_ANN_15-24: Estimated number of new HIV infections (adolescents and young people aged 15-24 years), Total,2008,29000,NUMBER: Number,,,117.5637982,154.7423903
Zimbabwe,"HVA_EPI_INF_RT: Estimated incidence rate (new HIV infection per 1,000 uninfected population)", Total,2008,7.82,"RATE_1000: Rate per 1,000 of Population",,,114.285297,155.9858905
Zimbabwe,"HVA_EPI_INF_RT_0-14: Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)", Total,2008,12.85,"RATE_1000: Rate per 1,000 of Population",,,110.4326695,157.5688706
Zimbabwe,HVA_EPI_LHIV_0-19: Estimated number of children (aged 0-19 years) living with HIV, Total,2008,230000,NUMBER: Number,,,106.0439205,158.6713939
Zimbabwe,HVA_EPI_LHIV_15-24: Estimated number of adolescents and young people (aged 15-24 years) living with HIV, Total,2008,180000,NUMBER: Number,,,130.7079125,152.4914216
Zimbabwe,HVA_PED_ART_CVG: Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART), Total,2008,8.3,PCNT: %,,,126.9814706,149.6080977
Zimbabwe,HVA_PED_ART_NUM: Reported number of children (aged 0-14 years) receiving antiretroviral treatment (ART), Total,2008,14500,NUMBER: Number,,,123.5424289,147.585793
Zimbabwe,HVA_PED_LOST: Estimated number of children (aged 0-17 years) who have lost one or both parents due to all causes, Total,2008,1310000,NUMBER: Number,,,120.4545803,146.3855007
Zimbabwe,HVA_PED_LOST_AIDS: Estimated number of children (aged 0-17 years) who have lost one or both parents due to AIDS, Total,2008,1070000,NUMBER: Number,,,117.5153597,145.7593795
Zimbabwe,HVA_PMTCT_MTCT: Mother-to-child HIV transmission rate, Total,2008,31.86,RATE_100: Rate per 100 of Population,,,114.7112085,145.783429
Zimbabwe,IM_BCG: Percentage of live births who received bacille Calmette-Guerin (vaccine against tuberculosis), Total,2008,91,PCNT: %,,,111.8365789,146.8156562
Zimbabwe,IM_DTP1: Percentage of surviving infants who received the first dose of DTP-containing vaccine, Total,2008,89,PCNT: %,,,108.5052303,147.9473149
Zimbabwe,IM_DTP3: Percentage of surviving infants who received the third dose of DTP-containing vaccine, Total,2008,75,PCNT: %,,,105.0160172,149.4512664
Zimbabwe,IM_HEPB3: Percentage of surviving infants who received the third dose of hep B-containing vaccine, Total,2008,75,PCNT: %,,,100.8591202,150.8150506
Zimbabwe,IM_HIB3: Percentage of surviving infants who received the third dose of Hib-containing vaccine, Total,2008,75,PCNT: %,,,4.758384436,12.36251254
Zimbabwe,IM_MCV1: Percentage of surviving infants who received the first dose of measles-containing vaccine, Total,2008,70,PCNT: %,,,4.541517897,12.2514099
Zimbabwe,IM_POL3: Percentage of surviving infants who received the third dose of inactivated polio-containing vaccine, Total,2008,75,PCNT: %,,,4.314911778,12.12183607
 Nigeria,CME_MRY0: Infant mortality rate,Female,2008,79.31098066,"D_PER_1000_B: Deaths per 1,000 live births",,,4.089278273,12.00778841
 Nigeria,CME_MRY0T4: Under-five mortality rate,Female,2008,133.2581599,"D_PER_1000_B: Deaths per 1,000 live births",,,3.881069234,11.95008692
 Nigeria,CME_MRY10T14: Mortality rate age 10-14,Female,2008,8.43574073,"D_PER_1000_10: Deaths per 1,000 children aged 10",,,3.636330994,11.95103484
 Nigeria,CME_MRY10T19: Mortality rate age 10-19,Female,2008,19.24832058,"D_PER_1000_10: Deaths per 1,000 children aged 10",,,3.396571138,11.9374322
 Nigeria,CME_MRY15T19: Mortality rate age 15-19,Female,2008,10.90456796,"D_PER_1000_15: Deaths per 1,000 youths aged 15",,,3.150951153,11.93602287
 Nigeria,CME_MRY15T24: Mortality rate age 15-24,Female,2008,25.92883243,"D_PER_1000_15: Deaths per 1,000 youths aged 15",,,2.878634976,11.99873455
 Nigeria,CME_MRY1T4: Child mortality rate (aged 1-4 years),Female,2008,58.51230826,"D_PER_1000_1: Deaths per 1,000 children aged 1",,,2.615863157,12.15904027
 Nigeria,CME_MRY20T24: Mortality rate age 20-24,Female,2008,15.1899038,"D_PER_1000_20: Deaths per 1,000 children aged 20",,,4.994412535,12.9370079
 Nigeria,CME_MRY5T14: Mortality rate (children aged 5 to 14 years),Female,2008,25.04926352,"D_PER_1000_5: Deaths per 1,000 children aged 5",,,4.836893296,12.86711542
 Nigeria,CME_MRY5T24: Mortality rate age 5-24,Female,2008,50.32859779,"D_PER_1000_5: Deaths per 1,000 children aged 5",,,4.619928163,12.82186428
 Nigeria,CME_MRY5T9: Mortality rate age 5-9,Female,2008,16.75486246,"D_PER_1000_5: Deaths per 1,000 children aged 5",,,4.40832857,12.80747314
 Nigeria,CME_TMY0: Infant deaths,Female,2008,246427,D: Number of deaths,,,4.244160703,12.84535061
 Nigeria,CME_TMY0T4: Under-five deaths,Female,2008,404837,D: Number of deaths,,,3.972882584,12.83589527
 Nigeria,CME_TMY10T14: Deaths aged 10 to 14,Female,2008,15113,D: Number of deaths,,,3.728708226,12.94314521
 Nigeria,CME_TMY10T19: Deaths aged 10 to 19,Female,2008,31742,D: Number of deaths,,,3.44818382,13.03978422
 Nigeria,CME_TMY15T19: Deaths aged 15 to 19,Female,2008,16629,D: Number of deaths,,,3.180283925,13.22599505
 Nigeria,CME_TMY15T24: Deaths aged 15 to 24,Female,2008,36988,D: Number of deaths,,,2.902499249,13.491573
 Nigeria,CME_TMY1T4: Child deaths (aged 1-4 years),Female,2008,158410,D: Number of deaths,,,4.909326941,12.60650933
 Nigeria,CME_TMY20T24: Deaths aged 20 to 24,Female,2008,20359,D: Number of deaths,,,4.7278583,12.51594669
 Nigeria,CME_TMY5T14: Deaths (children aged 5-14),Female,2008,51590,D: Number of deaths,,,4.486991632,12.40594868
 Nigeria,CME_TMY5T24: Deaths aged 5 to 24,Female,2008,88578,D: Number of deaths,,,4.264788839,12.36395592
 Nigeria,CME_TMY5T9: Deaths aged 5 to 9,Female,2008,36477,D: Number of deaths,,,4.062671274,12.35315499
 Nigeria,"HVA_PREV_KNOW: Per cent of young people (aged 15-24 years) with comprehensive, correct knowledge of HIV",Female,2008,22.200001,PCNT: %,,,3.794797075,12.35129009
 Nigeria,HVA_PREV_KNOW_TEST: Per cent of young people (aged 15-24 years) who know a place to get tested for HIV,Female,2008,45.400002,PCNT: %,,,3.56430305,12.42280826
 Nigeria,HVA_PREV_TEST_RES: Per cent of young people (aged 15-24 years) who have ever been tested for HIV and received the result of the last test,Female,2008,9.1999998,PCNT: %,,,3.28274466,12.45815175
Zimbabwe,CME_MRY0: Infant mortality rate,Female,2008,49.72493906,"D_PER_1000_B: Deaths per 1,000 live births",,,2.985254753,12.58457052
Zimbabwe,CME_MRY0T4: Under-five mortality rate,Female,2008,86.98597666,"D_PER_1000_B: Deaths per 1,000 live births",,,2.657333835,12.80725079
Zimbabwe,CME_MRY10T14: Mortality rate age 10-14,Female,2008,7.554303727,"D_PER_1000_10: Deaths per 1,000 children aged 10",,,15.19692045,23.78395311
Zimbabwe,CME_MRY10T19: Mortality rate age 10-19,Female,2008,17.9530171,"D_PER_1000_10: Deaths per 1,000 children aged 10",,,14.70031733,23.41111114
Zimbabwe,CME_MRY15T19: Mortality rate age 15-19,Female,2008,10.47786635,"D_PER_1000_15: Deaths per 1,000 youths aged 15",,,14.13021389,23.0156405
Zimbabwe,CME_MRY15T24: Mortality rate age 15-24,Female,2008,32.91625017,"D_PER_1000_15: Deaths per 1,000 youths aged 15",,,13.47233352,22.3786832
Zimbabwe,CME_MRY1T4: Child mortality rate (aged 1-4 years),Female,2008,39.15864821,"D_PER_1000_1: Deaths per 1,000 children aged 1",,,12.87497338,21.99265457
Zimbabwe,CME_MRY20T24: Mortality rate age 20-24,Female,2008,22.6759797,"D_PER_1000_20: Deaths per 1,000 children aged 20",,,12.2614036,21.53801713
Zimbabwe,CME_MRY5T14: Mortality rate (children aged 5 to 14 years),Female,2008,15.68331701,"D_PER_1000_5: Deaths per 1,000 children aged 5",,,11.7173168,21.26153075
Zimbabwe,CME_MRY5T24: Mortality rate age 5-24,Female,2008,48.08333119,"D_PER_1000_5: Deaths per 1,000 children aged 5",,,11.10468298,20.97200784
Zimbabwe,CME_MRY5T9: Mortality rate age 5-9,Female,2008,8.190889755,"D_PER_1000_5: Deaths per 1,000 children aged 5",,,10.64349198,20.91577619
Zimbabwe,CME_TMY0: Infant deaths,Female,2008,10817,D: Number of deaths,,,10.15530378,20.93290297
Zimbabwe,CME_TMY0T4: Under-five deaths,Female,2008,18771,D: Number of deaths,,,14.44798566,23.05445644
Zimbabwe,CME_TMY10T14: Deaths aged 10 to 14,Female,2008,1206,D: Number of deaths,,,14.08310148,22.85916707
Zimbabwe,CME_TMY10T19: Deaths aged 10 to 19,Female,2008,2753,D: Number of deaths,,,13.80380313,22.65516217
Zimbabwe,CME_TMY15T19: Deaths aged 15 to 19,Female,2008,1547,D: Number of deaths,,,13.58747921,22.7806094
Zimbabwe,CME_TMY15T24: Deaths aged 15 to 24,Female,2008,5064,D: Number of deaths,,,13.37785007,22.89901225
Zimbabwe,CME_TMY1T4: Child deaths (aged 1-4 years),Female,2008,7954,D: Number of deaths,,,13.12651982,22.96276271
Zimbabwe,CME_TMY20T24: Deaths aged 20 to 24,Female,2008,3517,D: Number of deaths,,,12.87585264,23.13669098
Zimbabwe,CME_TMY5T14: Deaths (children aged 5-14),Female,2008,2729,D: Number of deaths,,,12.55175005,23.29454265
Zimbabwe,CME_TMY5T24: Deaths aged 5 to 24,Female,2008,7793,D: Number of deaths,,,12.08472524,23.30908228
Zimbabwe,CME_TMY5T9: Deaths aged 5 to 9,Female,2008,1523,D: Number of deaths,,,11.69130591,23.46540598
Zimbabwe,HVA_EPI_DTH_ANN_0-19: Estimated number of annual AIDS-related deaths (children aged 0-19 years),Female,2008,8600,NUMBER: Number,,,14.900993,23.34290157
Zimbabwe,HVA_EPI_DTH_ANN_15-24: Estimated number of annual AIDS-related deaths (adolescents and young people aged 15-24 years),Female,2008,2700,NUMBER: Number,,,14.46711155,22.97127841
Zimbabwe,"HVA_EPI_DTH_RT: Estimated rate of annual AIDS-related deaths (per 100,000 population)",Female,2008,147.17,"RATE_100000: Rate per 100,000 of Population",,,14.04786682,22.70363441
Zimbabwe,"HVA_EPI_DTH_RT_0-14: Estimated rate of annual AIDS-related deaths (per 100,000 population, children aged 0-14 years)",Female,2008,313.85,"RATE_100000: Rate per 100,000 of Population",,,13.59145557,22.46813305
Zimbabwe,"HVA_EPI_DTH_RT_10-19: Estimated rate of annual AIDS-related deaths (per 100,000 population, adolescents aged 10-19 years)",Female,2008,137.46,"RATE_100000: Rate per 100,000 of Population",,,13.22387301,22.2953756
Zimbabwe,HVA_EPI_INF_ANN_0-19: Estimated number of new HIV infections (children aged 0-19 years),Female,2008,20000,NUMBER: Number,,,12.79186914,22.14150854
Zimbabwe,HVA_EPI_INF_ANN_15-24: Estimated number of new HIV infections (adolescents and young people aged 15-24 years),Female,2008,20000,NUMBER: Number,,,12.35374605,22.05382757
Zimbabwe,"HVA_EPI_INF_RT: Estimated incidence rate (new HIV infection per 1,000 uninfected population)",Female,2008,13.05,"RATE_1000: Rate per 1,000 of Population",,,11.87164896,21.9882645
Zimbabwe,"HVA_EPI_INF_RT_0-14: Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",Female,2008,12.79,"RATE_1000: Rate per 1,000 of Population",,,11.38081445,21.94884299
Zimbabwe,HVA_EPI_LHIV_0-19: Estimated number of children (aged 0-19 years) living with HIV,Female,2008,130000,NUMBER: Number,,,10.91048357,21.9983645
Zimbabwe,HVA_EPI_LHIV_15-24: Estimated number of adolescents and young people (aged 15-24 years) living with HIV,Female,2008,130000,NUMBER: Number,,,8.978180389,13.11234681
 Nigeria,CME_MRY0: Infant mortality rate,Male,2008,95.28268626,"D_PER_1000_B: Deaths per 1,000 live births",,,8.726471678,12.86622623
 Nigeria,CME_MRY0T4: Under-five mortality rate,Male,2008,149.0956929,"D_PER_1000_B: Deaths per 1,000 live births",,,8.394007305,12.50247278
 Nigeria,CME_MRY10T14: Mortality rate age 10-14,Male,2008,8.864877874,"D_PER_1000_10: Deaths per 1,000 children aged 10",,,7.932249772,12.02433551
 Nigeria,CME_MRY10T19: Mortality rate age 10-19,Male,2008,18.58957841,"D_PER_1000_10: Deaths per 1,000 children aged 10",,,7.577934775,11.66079258
 Nigeria,CME_MRY15T19: Mortality rate age 15-19,Male,2008,9.811679884,"D_PER_1000_15: Deaths per 1,000 youths aged 15",,,7.175639521,11.32534126
 Nigeria,CME_MRY15T24: Mortality rate age 15-24,Male,2008,22.62947034,"D_PER_1000_15: Deaths per 1,000 youths aged 15",,,6.827882366,11.15964037
 Nigeria,CME_MRY1T4: Child mortality rate (aged 1-4 years),Male,2008,59.48993867,"D_PER_1000_1: Deaths per 1,000 children aged 1",,,6.427254185,10.9381413
 Nigeria,CME_MRY20T24: Mortality rate age 20-24,Male,2008,12.9448007,"D_PER_1000_20: Deaths per 1,000 children aged 20",,,6.146888956,10.91507444
 Nigeria,CME_MRY5T14: Mortality rate (children aged 5 to 14 years),Male,2008,26.48895335,"D_PER_1000_5: Deaths per 1,000 children aged 5",,,5.820964517,10.8890152
 Nigeria,CME_MRY5T24: Mortality rate age 5-24,Male,2008,48.51899271,"D_PER_1000_5: Deaths per 1,000 children aged 5",,,8.054828958,11.87617767
 Nigeria,CME_MRY5T9: Mortality rate age 5-9,Male,2008,17.78170815,"D_PER_1000_5: Deaths per 1,000 children aged 5",,,7.830943975,11.6862797
 Nigeria,CME_TMY0: Infant deaths,Male,2008,307389,D: Number of deaths,,,7.722010233,11.6235524
 Nigeria,CME_TMY0T4: Under-five deaths,Male,2008,472079,D: Number of deaths,,,7.720747725,11.79614713
 Nigeria,CME_TMY10T14: Deaths aged 10 to 14,Male,2008,16367,D: Number of deaths,,,7.695048445,11.83365188
 Nigeria,CME_TMY10T19: Deaths aged 10 to 19,Male,2008,31741,D: Number of deaths,,,7.673770569,12.04069308
 Nigeria,CME_TMY15T19: Deaths aged 15 to 19,Male,2008,15374,D: Number of deaths,,,7.547972423,12.19396356
 Nigeria,CME_TMY15T24: Deaths aged 15 to 24,Male,2008,33020,D: Number of deaths,,,7.495715555,12.45105031
 Nigeria,CME_TMY1T4: Child deaths (aged 1-4 years),Male,2008,164690,D: Number of deaths,,,7.178663927,12.5492072
 Nigeria,CME_TMY20T24: Deaths aged 20 to 24,Male,2008,17646,D: Number of deaths,,,6.96851619,12.65037231
 Nigeria,CME_TMY5T14: Deaths (children aged 5-14),Male,2008,56172,D: Number of deaths,,,8.635647357,12.29769489
 Nigeria,CME_TMY5T24: Deaths aged 5 to 24,Male,2008,89192,D: Number of deaths,,,8.436435901,12.07255782
 Nigeria,CME_TMY5T9: Deaths aged 5 to 9,Male,2008,39805,D: Number of deaths,,,8.201478323,11.8748879
 Nigeria,"HVA_PREV_KNOW: Per cent of young people (aged 15-24 years) with comprehensive, correct knowledge of HIV",Male,2008,32.599998,PCNT: %,,,7.97676666,11.71536543
 Nigeria,HVA_PREV_KNOW_TEST: Per cent of young people (aged 15-24 years) who know a place to get tested for HIV,Male,2008,59.299999,PCNT: %,,,7.773230085,11.60425035
 Nigeria,HVA_PREV_TEST_RES: Per cent of young people (aged 15-24 years) who have ever been tested for HIV and received the result of the last test,Male,2008,7.4000001,PCNT: %,,,7.575629682,11.54316333
Zimbabwe,CME_MRY0: Infant mortality rate,Male,2008,61.16562712,"D_PER_1000_B: Deaths per 1,000 live births",,,7.348499369,11.5306557
Zimbabwe,CME_MRY0T4: Under-five mortality rate,Male,2008,99.39945372,"D_PER_1000_B: Deaths per 1,000 live births",,,7.108796559,11.50102514
Zimbabwe,CME_MRY10T14: Mortality rate age 10-14,Male,2008,7.265259181,"D_PER_1000_10: Deaths per 1,000 children aged 10",,,6.844118036,11.51019237
Zimbabwe,CME_MRY10T19: Mortality rate age 10-19,Male,2008,17.84557832,"D_PER_1000_10: Deaths per 1,000 children aged 10",,,6.590254606,11.55491561
Zimbabwe,CME_MRY15T19: Mortality rate age 15-19,Male,2008,10.65775046,"D_PER_1000_15: Deaths per 1,000 youths aged 15",,,22.68405207,29.71367184
Zimbabwe,CME_MRY15T24: Mortality rate age 15-24,Male,2008,28.34975616,"D_PER_1000_15: Deaths per 1,000 youths aged 15",,,21.95964566,28.83088224
